,author_name,review_title,review_text,author_rating,visit_date,overall_rating,restaurant_name
312,bruceg819,Authentic Lebanese food,"Good Evening !
Thank you so so so much for your review...
We Appreciate every bit.
Kind Regards,",5,01/03/2018,4.5,B.L. Restaurant
313,Ricalea,It was good...,On Sunday went to bl unannounced our party involved  over 10 people with kids wow they accommodated us fed us to the point of no return  to makes things even better I ordered a complete  cake that was customized  with my daughters  name. Had a...More,5,01/04/2018,4.5,B.L. Restaurant
314,Tjammal,Authentic Taste of Lebanese dishes,"Good Evening !
Apologies for our late reply.
We appreciate your review.
Thank you for taking your time to do so.",5,01/04/2018,4.5,B.L. Restaurant
315,Chris H,Reasonable Lebanese Meal,"For those expecting Lebanese food - it is actually more of a pizza place, and the chef is Bulgarian (the owner is Lebanese).

But who cares, when you get great food? We absolutely loved the pizzas (tried 3 different ones), and the patio is very...More",5,01/03/2018,4.5,B.L. Restaurant
316,Georgios R,B ulgarian & L ebanese mixed in a harmonic way,"Good Evening & Thank you for your review.
Apologies for our late reply.
We are Glad you enjoyed your visit to B.L.",5,01/01/2018,4.5,B.L. Restaurant
317,jideo415,Food Orgasm,This was my first time having a meal at B.L. Will I be back? So many more times. I had the ribs with fries and an amazing salad. The food is great. A real proper foodie experience rounded up with an amazing desert. DEEP FRIED...More,4.5,01/02/2018,4.5,B.L. Restaurant
318,David A,It is Bulgarian and Lebanese Restaurant,"For a few years, I did not realize what BL actually stands for until my clients from Thailand requested for a Thailand restaurant after 7 days of eating Nigerian dishes. So we decided to go to BL. SO just this week we walk into BL...More",4.5,01/01/2018,4.5,B.L. Restaurant
319,Emmanuel E,Average impression,"Good Evening Sir,
Thank you for taking time to write this review.
We appreciate your comments.
Actually there is a Thai Restaurant down The street from B.L., 
we would be pleased to direct you and your guests.
Regards,",4,01/12/2017,4.5,B.L. Restaurant
320,Lamide21,Nice to come back,Took my family to go have a pizza at this restaurant. Location was cool in a quiet corner. Once inside the ambience was very warm and cozy. Ordered for the pizza and drinks which did not take long to arrive. Hmm the pizza was thin...More,4,01/11/2017,4.5,B.L. Restaurant
321,Hubert K,Delicious,"Good Evening Sir,
Thank you for your detailed review.
We appreciate your precious time given to this write up.
We will be pleased to Welcome you & your family again & again.",5,01/11/2017,4.5,B.L. Restaurant
322,Freja A,Consistent,"This is a nice place. Very comfortable, very clean and cosy. Staff are friendly too. It’s for Lebanese cuisine and the meals are very well done with a good Mediterranean touch!",4,01/10/2017,4.5,B.L. Restaurant
323,Laulo F,Best Mashed Potatoes,"Welcome Back !
Thank you for your Review.
We Do Appreciate,",3,01/09/2017,4.5,B.L. Restaurant
324,gianpaolod327,Amazing,I had Lebanon Mixed Grill and it was fabulous! portion is very solid and you couldn't leave the restaurant hungry.,4,01/06/2017,4.5,B.L. Restaurant
325,Leke-Adeboye,We had to go try it out... In our quest to eat Lagos.,"Good Evening !
We appreciate your Review.
Thank you for taking time to do so.
You are Always Welcome...",5,01/04/2017,4.5,B.L. Restaurant
326,boukev2014,Good food!,I have been many times and the best thing with BL is the consistency. It's not an amazing place but it is reliable. You will always have a very good meal at a for Lagos reasonable price. People always come back.,4,01/04/2017,4.5,B.L. Restaurant
327,wunmia2017,great time with friends,"Good Evening !
Thank you for your review.
We appreciate your valuable comments.
You are Always Welcome !",4,01/03/2017,4.5,B.L. Restaurant
328,IvanS2,the best food in town,Visited with my husband in September 2017. Appetizers were tasty and so were the dinner dishes. I had ordered a pork dish that was supposed to have Camembert. It came without it and the chef came out to propose a different cheese. I appreciated that...More,5,01/03/2017,4.5,B.L. Restaurant
329,joma0405,"Great Food, nice service","Good Evening !
Thank you for taking time and writing this review.
We appreciate and we apologize for this unforgivable mix up with 
The Camembert Cheese on Our Svinsko Ot Berkovitsza.
We promise to do our Best regarding The Cocktails/Mocktails Bar...
It's coming Up soon!!!",4,01/02/2017,4.5,B.L. Restaurant
330,PatrickA3159,The address for tasty food.,One of the best restaurant il Lagos. If you want enjoy giant skewers this is the right place. The menu is rich of finest Lebanese and Balkans dishes. The service is the top due the costant of the two owners.,5,01/11/2016,4.5,B.L. Restaurant
331,Meena G,Disappointing,"Wow...
Good Morning !
Thank you Sir,
We appreciate your patronage and the time you took to right this wonderful review.
You are always Welcome and we promise to do our best to keep up to your expectations.
Regards,",5,01/12/2016,4.5,B.L. Restaurant
332,Abere N,Great food... Superb Customer service...,Had one of the best dinning experience at BL. The quality of the food there is world class.... top notch I must say. I had lunch there on Christmas day and I was blown away with the quality and portion of the food I got....More,4.5,01/12/2016,4.5,B.L. Restaurant
333,beachbummer75,Delicious Lebanese Cuisine,"Good Evening,
Apologies for the late reply.
We really appreciate...
Actually B.L. will soon start serving a wider variety of fresh Juices, Non alcoholic drinks, tea and Coffee.
We cherish your review and will do our best to improve B.L. Restaurant to meet up our...More",4.5,01/11/2016,4.5,B.L. Restaurant
334,Ravi D,Amazing Lebanese Food with huge portions,"We had the roast lamb stuffed with rice as we were in a big group. It was delicious, and the flavours penetrated through the meats and rice. Portions were huge.

Our starters comprising of fried cheese rolls and hummus with bread were also great.
  

The...More",4,01/11/2016,4.5,B.L. Restaurant
335,Intrepidtravellers_8,Tasty Lebanese lunch,"Good Evening !
First we apologies for our late reply,
Somehow it didn't go thru when sent 3 weeks ago.
Then thank you in Bunches for your Kind review, we cherish your remarks and Foodie notes.

Regards,",4,01/11/2016,4.5,B.L. Restaurant
336,Bukky M,What  lovely experience!,"I had heard about this place from a few friends and decided to go with family.
The place is very nicely done and the service was good though a bit slow - maybe because they had quite a few diners which is a rarity for...More",5,01/09/2016,4.5,B.L. Restaurant
337,Colin P,One of the nicest restaurants in Lagos,"Good Evening and apologies for our late reply,
Thank you for your kind write up, we appreciate...
Please do not hesitate to signal any mistake or error that may occur from our service or kitchen any time you visit us.

Regards,",4,01/10/2016,4.5,B.L. Restaurant
338,JKWelsh,A Food Oasis on VI,"We had a lovely selection of appetisers for our family lunch one Tuesday. For 3 of us we had cheese rolls, falafel, meat balls, fattoush, hummus with meat, and aubergine dip. These were served with Lebanese flatbreads.  My favourites were the cheese rolls, falafel and...More",4,01/09/2016,4.5,B.L. Restaurant
339,Michael E,Pizza nightout,"Thank you very much.
We appreciate your review and recommendations.
Hopefully you can try The Bulgarian side of B.L. next time in town.
Looking forward serving you again,

Regards,
Rodi Kattan",4,01/09/2016,4.5,B.L. Restaurant
340,Apapadim,New entrance,"This was a lovely experience – had a late lunch with my sister, friend and my 2 year old and it was a lovely experience. We were looking for a place to eat around Sinari Daranijo without having to come out on to Ajose Adeogun...More",5,01/09/2016,4.5,B.L. Restaurant
341,LindaHartley,Late lunch/early dinner,"We Thank and Cherish your review.
We'll definitely work on our service to improve and serve you better.
We also thank TripAdvisor for both of us...
Hopefully (when ready) our high chair will accommodate your loved one.

Regards,",4,01/08/2016,4.5,B.L. Restaurant
342,mstphy,"New, Fresh & Great Atmosphere!","We went to B.L's today for the first time.
The service was good, the food was excellent.
The restaurant had a great ambiance.
To any one here I recommend this place for a great time.

Definitely one of the better restaurants in Lagos.",5,01/08/2016,4.5,B.L. Restaurant
343,RobertPaltiel,Wide choice of quality Lebanese food,"Good Morning !
Thank you Mr. Collin,
We Cherish your review and we are looking forward to give a better service.
We also appreciate your recommendation.

Regards,
Rodi",4,01/07/2016,4.5,B.L. Restaurant
344,Naamtallah K,"Good Combination in Lagos,","Staying local to this restaurant and passed the building a few times without knowing what was behind the walls.
Visited on the recommendation of a colleague.

Wow, wished I had visited it 3 weeks ago!  Smart interior, super clean and with friendly staff who made...More",5,01/06/2016,4.5,B.L. Restaurant
345,Naji197416,Good Food & Best Shisha.,"Good Morning,
Thank you for every and each of your observations.
We promise to increase our dessert list in the next menu.
Wide variety of Coffee, Tea and fresh juices will soon be available with opening of our second bar.
Lights already amended, dimmers control...More",4,01/07/2016,4.5,B.L. Restaurant
346,Jordan I,Very nice place with great kitchen,So we were looking for a quick bite... when we drove past  BL. My brother suggested we go in and see what's the fastest plate we could get... well it took barely 10 mins and we were munching down on a well delivered pizza. The...More,5,01/07/2016,4.5,B.L. Restaurant
347,Lez M,New and bright and full of life!,"Right in our neighborhood is a new Restaurant, Bar and Cafe all rolled into one.  Correct me if I am wrong, but I believe the food is a mixture of Middle Eastern cultures. We tried what the owner said were good and we really enjoyed...More",4.5,01/07/2016,4.5,B.L. Restaurant
348,Lez M,Great New restaurant in Victoria Island,"Good Morning Dear Neighbor,
Thank you for taking time to write this review about B.L. Restaurant.
Yes, our cuisine is a mixture of Lebanese Cuisine (Middle Eastern) & Bulgarian Cuisine.
We also serve, Pizzas, Pastas, Grill & B.B.Q.
Looking forward your next visit to meet...More",4.5,01/07/2016,4.5,B.L. Restaurant
349,236joanner,Take Away was delicious,"love ordering from here , the food is always amazing and the staff are lovely ! gorgeous king prawn on puri starter and lamb dish for main gorgeous",4.5,01/01/2022,4.5,Bombay CafÈ
350,Ibadanboy,Nice!,Bombay Cafe is a nice and small Indian restaurant in the Mega Plaza shopping mall. Nice food and good service,4,01/09/2015,4.5,Bombay CafÈ
351,KapilV611,good indian food in a small and simple place,"This is a small restaurant in the food court of a shopping mall , Mega Plaza in Victoria Island... Menu is typical north indian food options... service is also just fine .. you can order for take aways & home delivery also in the surrounding...areas.More",4,01/08/2015,4.5,Bombay CafÈ
352,262Blondy,Good Indian food,"A good place for a fast Indian food. Atmosphere is simple,but price and food are good. At least once a week I stop there for quick brunch. I can recommend this place.",4,01/12/2014,4.5,Bombay CafÈ
353,globetravell,Cafe BOMBAY....Little One,"This is a tiny little restaurent in Mega Plaza Complex. Very simple, basic and working restaurent with no Jazz. The food is good, but little high on prices, when compared to ambience and size of the other restaurents. Masala Tea was very good and so...was Dal Khichdi.

Only problem we faced when we went in a huge group, they took almost an hour to prepare our food as they are not equipped to manage large group of 10 -12 people.More",5,01/11/2014,4.5,Bombay CafÈ
354,MaulinParekh,If you on a long trip....,"I have been visiting this place since December 2011. I have been to Lagos multiple times in the last 2 years and stay for as long as a month. Since one ends up missing Indian food and also at the same time, one doesn't want...to eat out all the time, this place works. They have aloo parathas which are reasonably priced. Dal khichdi is another awesome item on the menu. Another thing to have is the masala papad - one of the better ones in Lagos. 

All in all, a very good value for money place.More",4,01/04/2014,4.5,Bombay CafÈ
355,74SteveO,Homely Indian Food,"Venue has moved since my early visits, Food still excellent limited menu but ""Home Cooked Indian Food"" Waiters Nigerian, Chefs Indian great combination & good service Reasonably priced

try to visit when in Lagos",4,01/11/2014,4.5,Bombay CafÈ
356,Mabiadex,I really do Like their food,"Not much of an ambiance here, but the food speaks for it's self. It is nice tasty Indian food. I haven't had better in Lagos. They plus is it is affordable!",5,,4.5,Bombay CafÈ
357,pondheron,Bad Hair Day,"A couple of friends and I went to this restaurant for the second time in as many months for lunch on a busy workday. This time around the food was uncharacteristically terrible - insipid Dal Tadka, cold tandoori rots(!), uninspiring alu methi - the woes...were endless. The saving grace was the waitress who pleasantly served us - through all our grumbling. And not to forget some of the best pachranga pickle I've had in a long time. Prices are reasonable as is the ambience. Next to the Megaplaza Mall - perhaps worth a visit if one were to ascribe our bad experience to a one off problem.More",4,,4.5,Bombay CafÈ
358,ladyresioz,Love the Indian food here.,I eat here every week.  If you want authentic Northern Indian food then this is the place to go to.  I love this place.,4,01/11/2012,4.5,Bombay CafÈ
359,Excalibernono,Poison sushi,"This is what was sold to me today that is as good as poison.  The smell is so bad that even a blind person will know it was spoilt.  Pls note that this is my first time ordering sushi from your restaurant, and it surely...will be the last time.   I Normally eat sushi at bungalows and I frequently eat sushi abroad but I will give your resturant a PhD award of the most terrible sushi I have ever ordered that is not fit for Human consumption and the best place for it is in the Dustbin.  Thank you for wasting my money and giving me a truly terrible experience with your resturant but I shall let the world know never to come and buy food at your resturant.More",4,01/01/2023,4,Bonzai Restaurant
360,ummyd2019,Delicious Sushi,"For the past five years I’ve always come here alone. That’s how amazing it is 😋

Always go for a sushi platter, I promise you  won’t regret it. Always fresh and yummy. And you can always ask for a fish to be replaced for another...one. Average sushi platter costs N10,500.

Cheese cake tastes soo good.

Amazing ambiance, good food,great music, love it!More",4.5,01/02/2020,4,Bonzai Restaurant
361,JoanO539,Amazing Experience,"I went to Bonzai with a group of 3 other girlfriends for  dinner at their Tepanyaki  station and it was an amazing !!
From start to finish, you could tell that  they went to great lengths to ensure we had a good evening. 
The Sushi...was delicious, the bread was nice, the soup was very tasty and the dinner itself was sumptuous. We had lobsters, chicken, fish and prawns and there were no complaints on any item. Rice was delicious the vegetables were crunchy and all the protein deliciously seasoned. The show was nice too.

Service was Excellent. It would have been nice to have my preferred wine choice in stock and not have to buy a more expensive wine, but that didn't dampen our evening.   There was even a surprise Desert ""mothers day""  ice cream at the end, all on the house. That was a very nice touch. We all had a very enjoyable time. We will be back for sure!More",4.5,01/03/2019,4,Bonzai Restaurant
362,NahlaFoodLover,Best restaurant in Lagos,"Mrs / Miss  JoanO539
Thanks for your recent visit to BONZAI RESTAURANT on 1303 Akin Adesola Victoria Island.
We crave perfection and to serve to you better.
We are looking forward to welcoming you back very soon
Sincerely yours
Executive assistant",3.5,01/02/2019,4,Bonzai Restaurant
363,Timi's G,Bonzai!,"I went to Bonzai with a group of friends for their Tapanyaki and it was just delicious !!
The show was nice, the food was great and the service was excellent. We all enjoyed our night. 
Make sure to try their cocktails and dessert as...well!!! 
Also love their instagram page. 
I will definitely be coming back soon !More",1,01/01/2019,4,Bonzai Restaurant
364,Oladele O,Great for family time,"Hello  NahlaFoodLover
We would like to thank you very much for this positive Review, following to your recent visit at BONZAI RESTAURANT on 1303 Akin Adesola Victoria Island.
We are   looking forward to welcoming you back very soon.
We wont rest on our Best but...More",5,01/12/2018,4,Bonzai Restaurant
365,bruceg819,"Good food. Service, not so much.","Awesome sushi, amazing service. This was our 2nd visit, we will surely visit again. Highly recommended.",5,01/03/2018,4,Bonzai Restaurant
366,Compass690853,Never Again,"We would like to thank you very much for this positive Review following to your recent visit at BONZAI RESTAURANT on 1303 Akin Adesola Victoria Island.
We are   looking forward to welcoming you back very soon
Sincerely yours,
The executive assistant",5,01/02/2018,4,Bonzai Restaurant
367,NaomiBabs,Lovely!,Great place for a family meal. Very rich menu and the staff were friendly with the kids. Price is reasonable as well. Only downside was that Man Utd lost to Liverpool while we were having our meal.... can’t really blame them for thatMore,5,01/12/2017,4,Bonzai Restaurant
368,ZeeGoes,Basic,"We would like to thank you very much for your nice Review following to your recent visit at BONZAI RESTAURANT on 1303 Akin Adesola Victoria Island.
I must say you have a very good sense of humor 
We are   looking forward to welcoming you back...More",5,01/11/2017,4,Bonzai Restaurant
369,Tonia Eka A,Excellent sushi,"Good Sushi and Sashimi. The decor is nice and the open  cooking stations looked interesting.

The large bar dominates the restaurant and the patrons are permitted to smoke. That destroys the taste buds so the taste of the food is lost.

Service was really slow....On balance, I won't be back.More",3,01/07/2017,4,Bonzai Restaurant
370,Sandra A,Amazing!!!!,"Hello Mr. Bruce.

First of all, we want to thank you for your visit on Sunday and your nice comments on our Sushi and Sashimi.

Concerning apparently the smoking of a guest, there is in the restaurant a smoking area where 2 huge ceiling extractors...More",1,01/07/2017,4,Bonzai Restaurant
371,JiffyJocks,What A Find In Lagos,"This was the worst dining experience I have ever had & I am so shocked at this becos I have been to Bonsai twice in the past,they are under a new management & it's a totally waste of money,food is crap,cocktail is crap,service is crap.More",4,01/03/2017,4,Bonzai Restaurant
372,Ugonna I,"Great atmosphere, fantastic Sushi!","We are really sorry that you had an odd experience with us.
We are definitely not under a new management,we are still the same one since inception 15 years ago,except very few usual changes of various collaborators (waiters,Bar tenders,runners, accountants, etc..) but all to serve...More",1,01/02/2017,4,Bonzai Restaurant
373,Vania M,Very nice teppanyaki show and food!,"Service was wonderful, helpful and quick enough. Food was okay but tbh I'm not a sushi person. However, my sister is and she loved the food. So yeah, overall it was a nice and surprisingly filling dinner.More",5,01/12/2016,4,Bonzai Restaurant
374,ReviewsByNS,Best cheesecake in Lagos!,Not tried the mains for a long time. It's was so so the last time I tried it. They have revamped the interiors ..have been going here mostly to take out the cheeesecake!,4,01/11/2016,4,Bonzai Restaurant
375,Pacifique N,Diner with colleagues,"Nice place; very clean; good food; for those japanese food lovers, this is the right place to enjoy sushi... the staff is professional. 
We had a professional meeting, after work, and all went well. Maybe the music could be a little lower...",4.5,01/11/2016,4,Bonzai Restaurant
376,benjaminbB2825FU,Sushi & More on VI,"Very nice & modern restaurant.
Sushi choice & other japanese favorite.

Tenpayaki is a must, to be tried out, with friends or colleagues",4.5,01/10/2016,4,Bonzai Restaurant
377,Ibadanboy,Nice!,"Bonzai is a nice Japanese restaurant on Akin Adesola street in Victoria Island. Great food, good staff, lovely ambiance and nice location.",3.5,01/03/2016,4,Bonzai Restaurant
378,Gerald G,Nice little restaurant best sushi,"Miss the TV and other ornaments that used to be on the walls , added a special feel,the food was good and service attentive, Will be back for more , that's for sure.Well done all and keep it up",3,01/02/2016,4,Bonzai Restaurant
379,DubaiKoos,Very good!,Visited the restaurant twice. Once in  the evening for dinner and once for lunch. On both occasions the food was excellent. Staff was very friendly and tried their best. The price was not too bad either considering the location and type of food. Will definitely...More,4,01/02/2016,4,Bonzai Restaurant
380,Rida_SF,Avergae,"Not best Resturant in its domain, bit food is ok. very good decor and atmosphere.good staff and service.",4,01/07/2015,4,Bonzai Restaurant
381,thomasgN1999FY,"Calm, Nice, Neat & reasonnably priced Restaurant (almost unknwon by everyone)","We came to this restaurant almost twenty times the past year, it was almost always empty with more waiters than customer.
However the Japanese food is excellent and cheaper than any other Jap' restaurant of the city, there's a warmth welcome and only good reasons...More",4,01/09/2015,4,Bonzai Restaurant
382,jollofmaster,"nice hibachi grill, nice atmosphere","Nice environment, neat and clean with a well stocked bar and 2 hibachi grill stations.
The chef was a nice talkative fellow and the food was pretty good...the rice was on point and the prawns and chicken pretty good. The beef wasn't too exciting though....More",4,01/07/2015,4,Bonzai Restaurant
383,262Blondy,Good location and atmosphere,"They had recently renovation. The location is on one of the central streets in Victoria Island area. Parking is available,just in front (important for Lagos).  Cooks are expats and the food is great,Japanese,sushi. Good place for dinner. For lunch might be empty.",4,01/12/2014,4,Bonzai Restaurant
384,513fredericd,Good,"Nice place, clean.  Platters are cheaper then at Izanagi.  Food was of good quality.  Among the best sushi I have had.  Cheesecake really good.",3,,4,Bonzai Restaurant
385,asianink,Nice new renovations...too bad the food didn't match,"I use to go to Bonzai, when I first moved here to V.I. I thought it was the best however totally expensive for what you get, especially if you are eating by yourself. I haven't eaten there in over a year since I have been...More",5,01/09/2014,4,Bonzai Restaurant
386,T-Africa2000,Excellent Sushi,"I have eaten here twice now, once for lunch and once for dinner. The sushi is excellent. Prawn tempura, crab in shell, salmon and the sushi platter are all fantastic. Desserts are well worth it too, especially the cheese cake. Very expensive but worth it....More",4,01/05/2014,4,Bonzai Restaurant
387,387christians,Horrible,I ordered via Jumia. Food arrived totally spilled. No way to contact the restaurant. Very disappointing.,4,01/07/2020,4,Bottles
388,TheLuckyTraveller14,Weak and unprofessional service,"The waiter tried to ripp-me-off by telling that the price list was old and the prices changed, he told that I needed to pay 1500 naira more that on the pricelist.
The new pricelist wasn’t printed yet but the chicken became more expensive, I ordered...a beef burger?
I requested the manager, after some time she came and I ended up paying what was on the pricelist listed. 
About the burger: it was dry, and due of the argument it didn’t taste me anymore. 
I pay left and will not come back!More",3.5,01/01/2020,4,Bottles
389,Preesca,Chill Vibes,"The atmosphere was very serene, good food, good vibes. 100% recommend. I love a place where i can think and i got just that",3.5,01/09/2019,4,Bottles
390,_abisheart,brilliant live music and great food,"Took business visitors from out of town with a friend who is a regular there as we wanted a fun environment to unwind after a busy work day. The evening we went there was a live band which was great and played a good range...of music.
The bbq chicken wings are very tasty as is the halloumi and avocado wrap. cocktails are very good also.
better to book in advance as it’s usually very packed. 
if you want good food and a lively environment , Bottles won’t disappoint 👍🏽👍🏽👍🏽More",3.5,01/10/2019,4,Bottles
391,Keith B,Great Nite Out,"Although this restaurant/ bar / club seems way up a back street in Lagos, it is well worth a visit. Do book ahead though as it is really popular with a mix of ex-pats and locals. A tex-mex menu should suit most tastes but best...of all are the frozen margaritas - order a pitcher!. Live music, dancing if you wish to but if you want to talk with your companions, book a table in the outdoor bar area - all inside but no roof, cooler and less noisy. Plenty of security,popular and classy. Smart but casual or dress to impress and you are sure to enjoy.More",4,01/08/2019,4,Bottles
392,kamilejan,Very nice Mexican place!,"It’s a place for expats mainly, at least when we went on a Saturday night. Really nice food, good Margaritas, nice deco and you can good pretty good shisha. Great ambiance overall!",1,01/03/2019,4,Bottles
393,KaiUWulff,Lagos adaptation of TexMex ..,"A little loud for my taste but great service, interesting food combinations and unbeatable selection of cocktails like Margaritas and fruit mixers. On the weekend they have life bands, I would say, rather sit in the ""beergarden"" then. ;-)",2,01/04/2019,4,Bottles
394,vasaainei,Good place but the location,"Though the place is very congested it's not that bad. I prefer seating outdoor. Live muzik on Wednesday is to die for. Despite all, the road to the place is scary and secluded place. Hope more lights and better roads can serves the purpose.",4,01/12/2018,4,Bottles
395,Ricalea,Always good...and fun...,"Food is always good with lot of flavours in dishes.
The atmosphere is always amazing with good music and nice crowd.
One of a good restaurant and entertaining place in Lagos",5,01/10/2018,4,Bottles
396,Genviper,Nice place,"A good Tex mex restaurant with concert on wednesday evening which means it is full of people and it is better to book a table. 
Quality of food is good. Service a bit too long.",4,01/01/2019,4,Bottles
397,Edvard F,Great Pub,"went to Bottle with 2 work colleagues. I had no expectations but I left feeling that this is a well run pub offering great pub style food. Its a pub make no mistakes and it delivers what it says it will on the tin. The...waitresses were friendly and service was quick and fast. the food we had was good, well cooked and arrived hot. I understand that Wednesday is the best day to go, I liked the place.More",5,01/11/2018,4,Bottles
398,Todd J,Great atmosphere and food,"It was quite a shock when we found a good Mexican restaurant in West Africa!  The staff is always super nice, the food consistent and the atmosphere is very festive!  Definitely worth a visit!",4,01/12/2017,4,Bottles
399,prestonit3,One of the best Mexican restaurants,"I was pleasantly suprised finding Bottles in Lagos. The restaurant scene in Lagos is perhaps not the best so this restaurant is a well hidden gem! Not only do they make awesome mexican food, their pitcher margaritas cools you down in the humid heat of...Lagos! Definitly a top notch place for good solid food and great atmosphere!More",3,01/11/2017,4,Bottles
400,530clemens,Nice place to hangout,Went there on Wednesday with a live band playing. Atmosphere was awesome. Severs were quick and the prices were reasonable.,4,01/07/2018,4,Bottles
401,David A,Not bad to eat and hangout,"Great people wonderful service, We had a wonderful evening and a dinner worth remembering here at this restaurant on Tuesday this week.",4,01/07/2018,4,Bottles
402,95dimm,Seriously.?????,The waiter who took our order had a small verbal with the bar lady in front of us...the wakamole was just disgusting (smashed avocado ).and be careful on yr order...it’s the first place I visited and they charge you 20 %of yr bill for taxes...More,4,01/07/2018,4,Bottles
403,emeka3669,The mariachi weren't plaging... But friends made it worthwhile.,"A group of food enthusiasts (About 20 if us) decided to meet up at bottles for dinner and bonding over food and football. 

It was a wonderful time. Pretty light crowd in a Saturday evening which suited us just fine.

The ambience is very relaxed....More",3.5,01/06/2018,4,Bottles
404,622franckl,music on wednesday night,"went there on recommendations
Food looks good, drinks are nice
Music played by a band on wedneday nights",3.5,01/07/2018,4,Bottles
405,DDP917,Great Place,"I have been here a few times and each visit has been different.  They have set theme nights from unlimited beer and wings to live bands and also salsa dancing. The food is nice, the iced margaritas are delicious. A great place to meet with...More",3.5,01/06/2018,4,Bottles
406,JessicaAbuDhabi,"Live Music, Tasty Appetizers, Vibrant Setting","I went out on a Wednesday night with a few friends.  The setting was fun and relaxing.  The live music added to the ambiance, and the appetizers went well with our margaritas.  The later it got the more people arrived.  Mostly expats.",4,01/05/2018,4,Bottles
407,Luca R,Mexican restaurant for white people,"It definitely depends on what you're looking for. On our second day in Lagos, some Nigerian friends took us to the Bottles, where there is a band playing every Wednesday. Knowing nothing of it, we expected local food and atmosphere. It is actually a Mexican...More",1,01/05/2018,4,Bottles
408,Ricalea,Average because the next rating is very good but it is too much ..I would say good,"The place is good , the food is good, the staff is good
Nothing amazing but nothing bad
Great atmosphere , good live band..
Nice to go but not too often",4,01/04/2018,4,Bottles
409,bruceg819,A perenial that has a great feel.,"Bottles has not changed through 3 ownership changes. I am reminded of the quip from the movie La Bamba. ""It smells like fish but it tastes like chicken"". It's a metaphor for Bottles. It may not look great but the food, the service and the...More",4,01/10/2017,4,Bottles
410,olivierm363,The Big Deception,"I used to the Bottles with glorious texmex food. I was very deceived 2 days ago. The nachos were too heavy, greasy (bad cheese). The ""buffalo prawns"" were a catastrophic mix of spice. I suppose the cook wanted to try a hot and sour mix....More",4,01/12/2017,4,Bottles
411,Donaldis,Surprisingly good,"I was just thinking to myself that food would be pretty normal.... but to my surprise! It's was Great! The tacos, fajitas, enchiladas and burritos was all great. 

It's a fantastic Tex-Mex place to chill and eat. Weekends you need to have reservations as they...More",4,01/10/2017,4,Bottles
412,tjsmart,A must on Wednesday nights,This is a go to place on Wednesday nights. The place starts to rock at about 8pm. Do like a local and call to book a table in advance. Sit outside where you can enjoy the night and still have a great view of the...More,2,01/07/2017,4,Bottles
413,Kevin S,Lagos,"On a Tuesday we used to go for beer and wings night, as much beer as you can drink and as many wings as you can eat for a fixed price I think it was about 5000 naira",3,01/03/2017,4,Bottles
414,SharmsA,The pitcher margaritas are from heaven!!,"I always pop in here when i am in Lagos and it never fails me! the food is just basic Mexican but it tastes good and hits the spot! the pitcher margaritas are fantastic! i always leave very merry! haha....The staff are friendly, fast and...More",4,01/07/2017,4,Bottles
415,KatS718,Fairly decent food in a nice setting,"The food at bottles is pretty good Mexican food, but not too exciting. The staff are very attentive and will be quick to offer you a top up on your drinks. The setting is nice, with a cosy outdoor area as well as the indoor...More",2,01/07/2017,4,Bottles
416,beachbummer75,Action packed on Wednesday,"Lots of locals and foreigners come on Wednesdays for the live music so there is lots to see on and off stage. Despite the crowds, the service was attentive, food was standard 1 hour wait, and there were lots of fans to cool the area...More",4,01/05/2017,4,Bottles
417,Elizabeth O,Interesting Vibe,"The mixologist was spot on and gracious. The music ..live band was good played a good mix of old n new... they read the mood of the crowd..
The team should not all inside tables to be reserved on any one night... looks rude one...More",4,01/05/2017,4,Bottles
418,Valdis A,You should be here at Wednesday,"Any other place in VI can't beat Bottles at Wednesday's night.
Live bands, football on TV, Beer/margarita and too crowded.
Food are average but you are there for the mood.
So many expats are coming to meet with friends and get this ambiance like ""Not-in-Lagos"".",3.5,01/03/2017,4,Bottles
419,VCMO,Live Wire Wednesday,"Vibrant action on Wednesday with a live band and lots of 'action'. Adequate seating indoors or outdoors with sufficient overhead fans outdoors to make you feel like you're indoors. Service is over-abundant, slick and efficient. Great band on Wednesday! Didn't try the food and didn't...More",3.5,01/03/2017,4,Bottles
420,IvanS2,Great place,"Staying in Victoria Island ,the place is like an island in the island. 
Great fun and great Mexican food .

They have a live band.
But you need a reservation.",3.5,01/03/2017,4,Bottles
421,Madeira1964,Wednesday night hang out!!,This is the place to be for Wednesday nights in Lagos.   Busy - sports bar type with live band some nights.  Lots of expats and many girls.   Fun place with lots of action.  Football match on the TV - makes it even more fun.,4,01/03/2017,4,Bottles
422,gcxotf,It's the place (Wednesday),"Good band, good atmosphere, good company. BUT not so good food AND BAD PRICE. Feel cheated if not for the ambiance but once a week is bearable.",4,01/02/2017,4,Bottles
423,douglasvh,Decent Tex-Mex Food,"The food is good, but not true Mexican food if that's what you desire. It's the American Tex-Mex food on the menu, but it's good and portions are as well. It's a lively place to hang out with friends, but a bit on the pricey...More",4,01/12/2016,4,Bottles
424,irishboy4,Always good,"Bottles is a place to sit and have a quiet drink after work, a meal, a party, listen to music or simply watch eclectic mix of Lagosicians walk past. The food is excellent, the service likewise, it is good value for the drinks and food....More",5,01/02/2017,4,Bottles
